Zip Code,# Pizza/Chinese Restaurants,# That Deliver,% That Deliver,% No Cars
10001,50,35.0,0.7,82.6
10002,160,54.0,0.3375,81.6
10003,89,62.0,0.6966292134831461,78.3
10004,20,12.0,0.6,81.1
10005,6,4.0,0.6666666666666666,83.5
10006,12,10.0,0.8333333333333334,84.1
10007,17,14.0,0.8235294117647058,71.0
10009,38,29.0,0.7631578947368421,80.4
10010,30,24.0,0.8,75.7
10011,48,39.0,0.8125,80.2
10012,33,28.0,0.8484848484848485,81.8
10013,117,54.0,0.46153846153846156,73.5
10014,46,28.0,0.6086956521739131,78.7
10016,55,44.0,0.8,82.0
10017,30,22.0,0.7333333333333333,80.8
10018,35,24.0,0.6857142857142857,82.3
10019,66,48.0,0.7272727272727273,83.8
10021,20,17.0,0.85,71.2
10022,45,39.0,0.8666666666666667,72.2
10023,21,19.0,0.9047619047619048,73.4
10024,31,25.0,0.8064516129032258,71.3
10025,55,47.0,0.8545454545454545,73.6
10026,11,4.0,0.36363636363636365,78.1
10027,26,16.0,0.6153846153846154,76.4
10028,22,19.0,0.8636363636363636,70.6
10029,44,22.0,0.5,83.2
10030,6,4.0,0.6666666666666666,81.3
10031,21,13.0,0.6190476190476191,78.5
10032,22,15.0,0.6818181818181818,79.2
10033,25,16.0,0.64,75.2
10034,16,13.0,0.8125,73.8
10035,16,8.0,0.5,79.9
10036,71,47.0,0.6619718309859155,85.3
10037,8,1.0,0.125,77.0
10038,35,21.0,0.6,78.8
10039,11,3.0,0.2727272727272727,80.9
10040,15,11.0,0.7333333333333333,76.3
10044,2,2.0,1.0,73.6
10069,2,1.0,0.5,63.4
10128,28,24.0,0.8571428571428571,72.3
10162,0,0.0,0.0,65.0
10280,3,3.0,1.0,74.8
10282,3,2.0,0.6666666666666666,74.7
10301,21,9.0,0.42857142857142855,32.3
10302,15,6.0,0.4,25.6
10303,7,4.0,0.5714285714285714,28.8
10304,17,9.0,0.5294117647058824,31.5
10305,29,14.0,0.4827586206896552,16.7
10306,29,14.0,0.4827586206896552,16.7
10307,9,2.0,0.2222222222222222,9.4
10308,15,8.0,0.5333333333333333,7.8
10309,14,10.0,0.7142857142857143,5.4
10310,13,8.0,0.6153846153846154,24.7
10312,24,14.0,0.5833333333333334,5.6
10314,41,20.0,0.4878048780487805,13.4
10451,32,17.0,0.53125,73.1
10452,14,3.0,0.21428571428571427,76.2
10453,15,7.0,0.4666666666666667,75.6
10454,13,1.0,0.07692307692307693,77.9
10455,19,7.0,0.3684210526315789,72.9
10456,13,6.0,0.46153846153846156,73.0
10457,12,6.0,0.5,71.9
10458,43,18.0,0.4186046511627907,74.0
10459,18,5.0,0.2777777777777778,68.5
10460,16,6.0,0.375,45.1
10461,42,31.0,0.7380952380952381,35.5
10462,34,19.0,0.5588235294117647,55.2
10463,35,20.0,0.5714285714285714,46.3
10464,2,1.0,0.5,17.3
10465,22,17.0,0.7727272727272727,21.8
10466,11,6.0,0.5454545454545454,40.4
10467,45,19.0,0.4222222222222222,59.9
10468,25,11.0,0.44,72.1
10469,24,13.0,0.5416666666666666,33.7
10470,8,4.0,0.5,39.5
10471,9,7.0,0.7777777777777778,28.2
10472,21,11.0,0.5238095238095238,61.6
10473,9,5.0,0.5555555555555556,46.4
10474,4,2.0,0.5,68.9
10475,11,4.0,0.36363636363636365,45.0
11004,6,3.0,0.5,9.2
11101,40,25.0,0.625,69.2
11102,18,15.0,0.8333333333333334,61.6
11103,31,24.0,0.7741935483870968,62.0
11104,20,17.0,0.85,60.4
11105,24,20.0,0.8333333333333334,47.3
11106,36,28.0,0.7777777777777778,61.2
11109,0,0.0,0.0,62.6
11201,61,42.0,0.6885245901639344,67.0
11203,18,7.0,0.3888888888888889,47.5
11204,53,25.0,0.4716981132075472,45.4
11205,20,9.0,0.45,66.8
11206,25,19.0,0.76,71.9
11207,35,17.0,0.4857142857142857,60.3
11208,37,19.0,0.5135135135135135,59.1
11209,58,45.0,0.7758620689655172,43.9
11210,23,15.0,0.6521739130434783,41.3
11211,52,37.0,0.7115384615384616,62.7
11212,29,8.0,0.27586206896551724,72.1
11213,26,11.0,0.4230769230769231,66.4
11214,77,36.0,0.4675324675324675,45.1
11215,48,38.0,0.7916666666666666,52.4
11216,27,10.0,0.37037037037037035,68.6
11217,36,28.0,0.7777777777777778,67.4
11218,33,22.0,0.6666666666666666,50.6
11219,32,14.0,0.4375,54.8
11220,142,30.0,0.2112676056338028,63.7
11221,33,22.0,0.6666666666666666,64.9
11222,29,21.0,0.7241379310344828,61.4
11223,39,26.0,0.6666666666666666,43.5
11224,16,6.0,0.375,57.9
11225,30,16.0,0.5333333333333333,67.2
11226,43,24.0,0.5581395348837209,67.1
11228,17,14.0,0.8235294117647058,28.1
11229,45,21.0,0.4666666666666667,39.8
11230,28,14.0,0.5,48.5
11231,22,15.0,0.6818181818181818,58.0
11232,27,14.0,0.5185185185185185,62.0
11233,21,8.0,0.38095238095238093,64.5
11234,36,26.0,0.7222222222222222,23.3
11235,27,17.0,0.6296296296296297,45.9
11236,29,15.0,0.5172413793103449,34.7
11237,33,20.0,0.6060606060606061,70.3
11238,34,20.0,0.5882352941176471,67.7
11239,3,1.0,0.3333333333333333,62.7
11354,189,14.0,0.07407407407407407,48.5
11355,109,14.0,0.12844036697247707,52.3
11356,14,6.0,0.42857142857142855,20.1
11357,16,10.0,0.625,10.6
11358,27,20.0,0.7407407407407407,20.6
11360,4,1.0,0.25,13.3
11361,27,11.0,0.4074074074074074,11.6
11362,19,9.0,0.47368421052631576,11.5
11363,4,3.0,0.75,5.6
11364,14,6.0,0.42857142857142855,10.4
11365,16,10.0,0.625,19.8
11366,19,10.0,0.5263157894736842,13.4
11367,16,10.0,0.625,28.8
11368,42,26.0,0.6190476190476191,58.4
11369,9,4.0,0.4444444444444444,41.1
11370,7,3.0,0.42857142857142855,31.6
11372,51,30.0,0.5882352941176471,55.6
11373,57,20.0,0.3508771929824561,57.9
11374,18,11.0,0.6111111111111112,47.0
11375,45,31.0,0.6888888888888889,42.3
11377,37,25.0,0.6756756756756757,48.5
11378,24,20.0,0.8333333333333334,24.8
11379,20,10.0,0.5,18.8
11385,63,40.0,0.6349206349206349,42.5
11411,4,1.0,0.25,12.4
11412,13,6.0,0.46153846153846156,19.2
11413,8,2.0,0.25,17.4
11414,11,6.0,0.5454545454545454,15.1
11415,8,5.0,0.625,43.9
11416,17,9.0,0.5294117647058824,32.6
11417,20,16.0,0.8,22.3
11418,17,9.0,0.5294117647058824,34.5
11419,25,7.0,0.28,27.5
11420,19,8.0,0.42105263157894735,20.6
11421,19,14.0,0.7368421052631579,29.2
11422,9,1.0,0.1111111111111111,15.4
11423,7,1.0,0.14285714285714285,26.9
11426,6,4.0,0.6666666666666666,8.5
11427,9,3.0,0.3333333333333333,19.1
11428,13,6.0,0.46153846153846156,14.8
11429,6,1.0,0.16666666666666666,18.0
11432,34,15.0,0.4411764705882353,40.1
11433,10,4.0,0.4,41.0
11434,19,7.0,0.3684210526315789,27.7
11435,25,11.0,0.44,38.7
11436,6,3.0,0.5,18.6
11691,15,1.0,0.06666666666666667,42.0
11692,3,0.0,0.0,42.4
11693,8,1.0,0.125,30.6
11694,9,2.0,0.2222222222222222,23.4
11697,1,0.0,0.0,10.7
